"subject" "activityname" "featJerk" "featMag" "featDomain" "featinstrument" "featvariable" "featacceleration" "axis" "value"
21 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.693746797222222
22 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.649778595152778
23 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.782046835416667
24 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.555350657943056
25 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.775213974109589
26 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.800885126052632
27 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.852268091364865
28 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.830979812625
29 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.963831451884058
30 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.5997310485
1 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.629395456808511
2 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.554789978456522
3 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.800955733461538
4 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.7749189886
5 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.636414101340909
6 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.695045647090909
7 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.67136107125
8 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.708704379565217
9 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.6324676495
10 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.764773631851852
11 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.70820874754717
12 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.893110945294118
13 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.774669113673469
14 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.636985154611111
15 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.697735410932203
16 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.573614378971015
17 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.748889822234375
18 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.71255499245614
19 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.641511138630137
20 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.593518631030303
21 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.882299728258824
22 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.703222513709677
23 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.829567576617647
24 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.626133807058823
25 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.778267345230769
26 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.711396451153846
27 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.465816997877143
28 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.531207418041667
29 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.823819603166667
30 "SITTING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.583083339870968
1 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.401285433396226
2 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.593957294775926
3 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.802507295245902
4 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.825507016071429
5 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.72502737675
6 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.788560192631579
7 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.759722406981132
8 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.655310225740741
9 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.662541325444444
10 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.890845076590909
11 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.606344858297872
12 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.712265927622951
13 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.730795846947368
14 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.873747466833333
15 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.739530448679245
16 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.580957749128205
17 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.555940750635897
18 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.70010234369863
19 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.704231907671233
20 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.755856806575342
21 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.576605691102472
22 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.860270261587302
23 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.925394233235294
24 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.645741954202899
25 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.898590247702703
26 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.800134904459459
27 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.67528653125
28 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.584863612113924
29 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.704281909384615
30 "STANDING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.667873713627119
1 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.607337255873684
2 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.967460699322034
3 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.724436472758621
4 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.719912171833333
5 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.593541928821429
6 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.733547536491228
7 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.703962054035088
8 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.5628690154125
9 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.492270256788462
10 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.715684609622641
11 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.656678093661017
12 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.8749369298
13 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.869049315614035
14 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.572061482338983
15 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.529579125185185
16 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.675663724117647
17 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.708937237213115
18 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.631268693392857
19 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.851613949230769
20 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.591399421343725
21 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.581839603076923
22 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.586651595695652
23 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.735999788305085
24 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.498418041017241
25 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.732867312162162
26 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.754356942169492
27 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.715158961403509
28 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.722235718703704
29 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.945623598867925
30 "WALKING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.508089924658462
1 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.540971643142857
2 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.945043914042553
3 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.597891610612245
4 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.706606408
5 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.721894535957447
6 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.69827572125
7 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.69428567212766
8 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.624171925736842
9 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.716309939452381
10 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.735497918947368
11 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.682420942391304
12 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.777113255652174
13 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.984715658510638
14 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.540432418
15 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.628639445
16 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.677374878510638
17 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.827434782391304
18 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.825356773254545
19 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.671847463333333
20 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.667719244582222
21 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.313970796644444
22 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.610285322777778
23 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.736741589962963
24 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.586284274963636
25 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.655949455689655
26 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.57705770188
27 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.564813670477273
28 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.720593037173913
29 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.8918816075
30 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.537294620612903
1 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.571354747283019
2 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.806027214375
3 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.662184848847458
4 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.832882561153846
5 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.954122549361702
6 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.725272626078431
7 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.765818589019608
8 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.541901321790244
9 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.705147787959184
10 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.64110518087234
11 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.698539244074074
12 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.748832365769231
13 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.896230658727273
14 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.650336560740741
15 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.6319183006875
16 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.645304794313725
17 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.877148955
18 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.941955116034483
19 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.669801039
20 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.90802400372549
21 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.318560363025532
22 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.646361114357143
23 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.793056280392157
24 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.619919627974576
25 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.841420146
26 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.560306109383636
27 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.643680238196078
28 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.635481525137255
29 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.726171259183673
30 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.6994203572
1 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.6507288396
2 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.681720620229167
3 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.798954607419355
4 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.793603620185185
5 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.832894774423077
6 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.88860519245614
7 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.748830179230769
8 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.796892879074074
9 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.7298396258
10 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.803588202413793
11 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.488348223684211
12 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.994033596166667
13 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.725383526016129
14 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.795043604509804
15 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.855948927916667
16 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.818605708142857
17 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.831614586760563
18 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.809962496153846
19 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.673179094415663
20 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.883919758088235
21 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.859817989111111
22 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.866878963611111
23 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.919712845
24 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.893677853611111
25 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.840882120958904
26 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.909086564618421
27 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.878253610918919
28 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.821413585375
29 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.986590517826087
30 "LAYING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.804516506437143
1 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.709792584042553
2 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.477535700130435
3 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.691731171923077
4 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.8130482378
5 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.8425401125
6 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.85608215
7 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.653377106666667
8 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.629686832413043
9 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.8592756314
10 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.790806387407407
11 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.671225015792453
12 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.921980682941177
13 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.851848636326531
14 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.785364422592593
15 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.87255194440678
16 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.709335597826087
17 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.84081129421875
18 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.824069674385965
19 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.789157800410959
20 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.809606567575758
21 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.9260708
22 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.818485689354839
23 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.858192148382353
24 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.788848435
25 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.759201819076923
26 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.916235787820513
27 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.582376084642857
28 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.61787416575
29 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.861666230333333
30 "SITTING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.830519007419355
1 "STANDING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.452038775301887
2 "STANDING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.614767187888889
3 "STANDING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.834701884262295
4 "STANDING" "Jerk" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.766987833035714
